"cust","x","t.x","litt","sales","first","T.cal"
392,4,7.71428571428571,-1.39507919067562,264.77,2018-05-20,71.1428571428571
393,0,0,0,155,2018-08-18,58.2857142857143
394,18,17.2857142857143,-18.6268027261235,2732,2018-10-07,51.1428571428571
395,1,0.142857142857143,-1.94591014905531,221,2018-05-04,73.4285714285714
396,2,5.71428571428571,1.81196217654557,370,2019-05-20,19
397,0,0,0,180,2019-03-01,30.4285714285714
398,3,2.42857142857143,-1.74338588494384,850,2019-05-24,18.4285714285714
399,1,0.142857142857143,-1.94591014905531,360,2018-12-30,39.1428571428571
400,1,14,2.63905732961526,380,2018-08-03,60.4285714285714
401,13,55.5714285714286,-12.5811504083508,2137.34,2017-10-17,101.857142857143
402,1,0.142857142857143,-1.94591014905531,190,2019-09-09,3
403,0,0,0,180,2018-09-11,54.8571428571429
404,2,0.428571428571429,-3.19867311755068,400,2019-01-17,36.5714285714286
405,1,0.142857142857143,-1.94591014905531,260,2019-01-26,35.2857142857143
406,0,0,0,80,2018-11-04,47.1428571428571
407,1,1,0,244,2019-01-18,36.4285714285714
408,1,0.428571428571429,-0.847297860387204,460,2019-04-20,23.2857142857143
409,0,0,0,200,2018-11-19,45
410,0,0,0,80,2019-05-26,18.1428571428571
411,0,0,0,110,2018-11-23,44.4285714285714
412,1,0.142857142857143,-1.94591014905531,212,2019-06-18,14.8571428571429
413,0,0,0,190,2019-07-13,11.2857142857143
414,0,0,0,47.17,2018-05-19,71.2857142857143
415,0,0,0,150,2018-07-13,63.4285714285714
416,2,5.57142857142857,0.412244795093543,490,2019-07-30,8.85714285714286
417,0,0,0,600,2018-04-28,74.2857142857143
418,0,0,0,120,2019-03-28,26.5714285714286
419,13,35.8571428571429,5.94219116193239,2330.5,2018-10-20,49.2857142857143
420,1,0.428571428571429,-0.847297860387204,452.83,2018-03-15,80.5714285714286
421,0,0,0,104,2018-10-05,51.4285714285714
422,11,23.1428571428571,-0.608720496379563,1490,2019-03-08,29.4285714285714
423,0,0,0,180,2019-03-29,26.4285714285714
424,0,0,0,200,2019-03-01,30.4285714285714
425,0,0,0,150,2018-03-14,80.7142857142857
426,1,64.4285714285714,4.16555719044737,298.68,2018-05-24,70.5714285714286
427,1,0.571428571428571,-0.559615787935423,726.42,2018-02-15,84.5714285714286
428,0,0,0,50,2018-11-01,47.5714285714286
429,1,7.57142857142857,2.02438176449681,200,2019-04-30,21.8571428571429
430,0,0,0,130,2019-06-25,13.8571428571429
431,0,0,0,50,2018-11-08,46.5714285714286
432,2,9,2.83680831497407,708,2019-04-20,23.2857142857143
433,9,6.28571428571429,-7.75588629913977,1730,2019-05-20,19
434,0,0,0,1248,2019-02-01,34.4285714285714
435,0,0,0,94.34,2018-03-03,82.2857142857143
436,1,0.285714285714286,-1.25276296849537,300,2018-08-03,60.4285714285714
437,0,0,0,280,2018-11-19,45
438,0,0,0,150,2018-09-26,52.7142857142857
439,2,4.14285714285714,1.45528723260684,280,2019-06-27,13.5714285714286
440,1,0.285714285714286,-1.25276296849537,240,2018-05-31,69.5714285714286
441,0,0,0,50,2018-09-16,54.1428571428571
442,0,0,0,180,2018-11-10,46.2857142857143
443,0,0,0,50,2019-08-19,6
444,0,0,0,90.4,2019-08-16,6.42857142857143
445,0,0,0,120,2017-12-29,91.4285714285714
446,1,0.142857142857143,-1.94591014905531,240,2018-07-07,64.2857142857143
447,1,0.142857142857143,-1.94591014905531,120,2019-06-22,14.2857142857143
448,5,14,3.32359116308581,1400,2019-05-10,20.4285714285714
449,1,34.4285714285714,3.53888678443534,440,2018-08-11,59.2857142857143
